id_eksperymentu,zbior,wariant,log,proporcja,acc_train,acc_test,acc_class1,acc_class2,acc_class3
exp1_podstawowy,seeds,ciagly,False,70/30,92.51700680272108,88.88888888888889,85.0,90.47619047619048,90.9090909090909
exp2_log,seeds,ciagly,True,70/30,92.51700680272108,88.88888888888889,85.0,90.47619047619048,90.9090909090909
exp3_prop_50_50,seeds,ciagly,True,50/50,91.42857142857143,87.61904761904762,88.57142857142857,86.8421052631579,87.5
exp3_prop_60_40,seeds,ciagly,True,60/40,92.06349206349206,90.47619047619048,89.28571428571429,89.65517241379311,92.5925925925926
exp3_prop_70_30,seeds,ciagly,True,70/30,92.51700680272108,88.88888888888889,85.0,90.47619047619048,90.9090909090909
exp3_prop_80_20,seeds,ciagly,True,80/20,93.45238095238095,85.71428571428571,72.72727272727273,92.85714285714286,88.23529411764706
exp4_sklearn,seeds,ciagly_sklearn,N/A,70/30,92.51700680272108,87.3015873015873,80.0,90.47619047619048,90.9090909090909
exp7_iris,iris,ciagly,True,70/30,94.28571428571428,97.77777777777777,100.0,92.3076923076923,100.0
